Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Have you completed this demographics page before?,Current location,,"In what year were you born? (enter 4-digit birth year; for example, 1976)",What is the highest level of school you have completed or the highest degree you have received?,Are you male or female?,Provide a short 1-2 word name of one physical activity.,"Describe the physical activity clearly. For example, if you wrote ""hockey"" above, clarify whether you meant field hockey or ice hockey. If you wrote ""martial arts,"" clarify which specific martial arts you practice. If you wrote ""gym,"" clarify which specific activity you did at the gym.","If you have a physical disability, to what extent does it interfere with your ability to do this activity?",Provide a short 1-2 word name of another physical activity.,"Describe the second physical activity clearly. Please be specific enough so that our analyst can group your physical activities with other people' similar physical activities. For example, if you wrote ""football,"" clarify whether you meant soccer, Gridiron football, rugby, or Australian rules football.","If you have a physical disability, to what extent does it interfere with your ability to do this second activity?","During the activity, do you engage with a group or go it solo?",,How expert are you at these physical activities?,,How much skill is required?,How predictable is the action?,To what extent do you find new and fresh experiences during the activity?,To what extent are there opportunities to express creativity during the activity?,How complex is the action and the environment in which it takes place?,How clear and straightforward are the long-term goals?,How quickly do you know whether what you wanted to accomplish in the long term was successful?,"How clear and straightforward are the short-term, moment-to-moment goals?",How quickly do you know whether what you wanted to accomplish in the short term was successful?,Does your extraneous mental chatter temporarily shut down during the activity?,How much time do you feel like is spent waiting for the next step in the activity?,How much of your body is involved in the activity? Is it full-body or only part of your body?,How much control do you feel like you can exert over your performance?,"During the activity, to what extent do you feel like you are in the present moment?",How spontaneous is your action?,"During the activity, how important does the activity feel?",To what extent do you care about how others judge your performance?,"After engaging in the physical activity, to what extent do you feel great?",What is the risk of minor physical injury (more than just muscle soreness)?,What is the risk of serious physical injury?
,,02/15/2017 04:28:55 PM,02/15/2017 04:29:41 PM,,,,,,,"Charlottesville, VA",USA,1997,Some college but no degree,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2017 04:25:02 PM,02/15/2017 04:28:01 PM,,,,,,,"Charlottesville, VA",USA,1996,Some college but no degree,Male,Running,,I do not feel hindered or do not have a physical disability.,Soccer,(Football to those not in America),I do not feel hindered or do not have a physical disability.,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2017 04:22:53 PM,02/15/2017 04:28:26 PM,,,,,,,"Charlottesville, VA",USA,1997,Some college but no degree,Female,Swimming ,Swimming laps ,I do not feel hindered or do not have a physical disability.,Gymnastics ,Women's gymnastics ,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Beginner,{{Q9}} requires somewhat more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,Both offer roughly equal novelty.,{{Q9}} admits much more creativity than {{Q6}}.,{{Q9}} is much more complex than {{Q6}}.,Both have equally clear goals.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,Both have equally clear goals.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,{{ Q9}} involves a somewhat more waiting than {{ Q6}}.,Both involve my body to a roughly equal extent.,{{Q6}} permits somewhat more control than {{Q9}}.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During {{Q9}}, I am much more concerned about others' evaluations than during {{Q6}}.",{{Q6}} is much more rewarding than {{Q9}}.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q9}} has much more chance of serious physical injury compare to {{Q6}}.
,,02/15/2017 04:20:00 PM,02/15/2017 04:25:20 PM,,,,,,,"Charlottesville, VA",USA,1988,Bachelor degree,Female,yoga,Vinyasa Yoga ,I do not feel hindered or do not have a physical disability.,running,,I do not feel hindered or do not have a physical disability.,Group,Solo,Competent amateur,Beginner,{{Q6}} requires much more skill than {{Q9}}.,{{Q9}} is somewhat more predictable than {{Q6}}.,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q6}} admits somewhat more creativity than {{Q9}}.,{{Q6}} is much more complex than {{Q9}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q9}} involves a somewhat more waiting than {{ Q6}}.,{{Q6}} involves somewhat more of my body than {{Q9}}.,Both admit roughly equal control.,{{Q6}} brings me into the present somewhat more than {{Q9}}.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q9}}, I am somewhat more concerned about others' evaluations than during {{Q6}}.",{{Q6}} is somewhat more rewarding than {{Q9}}.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,02/15/2017 04:17:34 PM,02/15/2017 04:22:42 PM,,,,,,,"Charlottesville, VA",USA,1994,"High school degree or equivalent (e.g., GED)",Female,Soccer,"Outdoor soccer; intramural, 8 v. 8",I do not feel hindered or do not have a physical disability.,Running,Outdoor running ,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Competent amateur,{{Q6}} requires much more skill than {{Q9}}.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a somewhat more novelty than {{Q9}}.,{{Q6}} admits somewhat more creativity than {{Q9}}.,{{Q6}} is much more complex than {{Q9}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q6}} involves somewhat more of my body than {{Q9}}.,{{Q9}} permits much more control than {{Q6}}.,{{Q6}} brings me into the present somewhat more than {{Q9}}.,{{Q6}} feels effortless compare to {{Q9}} where I have to struggle and force myself.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q6}}, I am much more concerned about others' evaluations than during {{Q9}}.",Both are roughly equally rewarding.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,The chance of serious physical injury is roughly equal.
,,02/15/2017 04:17:41 PM,02/15/2017 04:17:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2017 04:15:18 PM,02/15/2017 04:16:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2017 04:13:55 PM,02/15/2017 04:14:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2017 04:12:52 PM,02/15/2017 04:17:47 PM,,,,,,,"Charlottesville, VA ",USA,1995,Some college but no degree,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2017 04:11:18 PM,02/15/2017 04:15:34 PM,,,,,,,Charlottesville VA,USA,1996,Some college but no degree,Female,Horseback Riding,,I feel slightly hindered.,Running,,I am more than slightly hindered.,Group,Solo,Expert or professional,Competent amateur,{{Q6}} requires much more skill than {{Q9}}.,{{Q9}} is much more predictable than {{Q6}}.,Both offer roughly equal novelty.,{{Q6}} admits somewhat more creativity than {{Q9}}.,Both are of roughly equal complexity.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q6}} turns off my mental chatter somewhat more than {{Q9}}.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,{{Q9}} permits somewhat more control than {{Q6}}.,{{Q6}} brings me into the present somewhat more than {{Q9}}.,{{Q6}} feels like less effort than {{Q9}}.,{{Q6}} has somewhat higher stakes than {{Q9}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",{{Q6}} is somewhat more rewarding than {{Q9}}.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,02/15/2017 04:11:53 PM,02/15/2017 04:17:58 PM,,,,,,,"Charlottesville, VA",USA,1991,Bachelor degree,Male,Cycling,Solo road cycling (not in a group of other riders),I do not feel hindered or do not have a physical disability.,Weight lifting,,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,Both require roughly equal skill.,Both offer roughly equal predictability.,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q6}} admits somewhat more creativity than {{Q9}}.,{{Q9}} is much more complex than {{Q6}}.,{{Q9}} has much more clear goals than {{Q6}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q9}} has much more clear goals than {{Q6}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q9}} turns off my mental chatter much more than {{Q6}}.,{{ Q9 }} involves a lot more waiting than {{ Q6 }}.,{{Q9}} involves much more of my body than {{Q6}}.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,{{Q6}} feels like less effort than {{Q9}}.,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.
,,02/15/2017 04:10:46 PM,02/15/2017 04:17:13 PM,,,,,,,"Charlottesville, VA",USA,1997,Some college but no degree,Female,Running,Long distance,I do not feel hindered or do not have a physical disability.,Hiking,,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Competent amateur,Both require roughly equal skill.,{{Q6}} is somewhat more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,Both admit roughly the same amount of creativity.,{{Q9}} is somewhat more complex than {{Q6}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,Both have equally clear goals.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,{{ Q9}} involves a somewhat more waiting than {{ Q6}}.,Both involve my body to a roughly equal extent.,{{Q6}} permits somewhat more control than {{Q9}}.,Both bring me into the present to a roughly equal extent.,{{Q9}} feels like less effort than {{Q6}}.,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.
,,02/15/2017 04:07:34 PM,02/15/2017 04:12:59 PM,,,,,,,"Charlottesville, VA",USA,1996,Some college but no degree,Female,Running,Running on treadmill,I do not feel hindered or do not have a physical disability.,Weight training,"Strengthening muscles with free weights, barbell, and machines.",I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q9}} requires much more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,{{Q9}} admits much more creativity than {{Q6}}.,{{Q9}} is much more complex than {{Q6}}.,{{Q9}} has much more clear goals than {{Q6}}.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,{{ Q9 }} involves a lot more waiting than {{ Q6 }}.,{{Q9}} involves much more of my body than {{Q6}}.,Both admit roughly equal control.,{{Q9}} brings me into the present much more than {{Q6}}.,{{Q6}} feels like less effort than {{Q9}}.,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During {{Q9}}, I am much more concerned about others' evaluations than during {{Q6}}.",{{Q6}} is somewhat more rewarding than {{Q9}}.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.
,,02/15/2017 04:08:51 PM,02/15/2017 04:09:29 PM,,,,,,Yes,"charlottesvile, va",usa,1995,Some college but no degree,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2017 04:08:09 PM,02/15/2017 04:13:16 PM,,,,,,,"Charlottesville, VA",USA,1996,"High school degree or equivalent (e.g., GED)",Female,running,road running outside,I do not feel hindered or do not have a physical disability.,swimming,lap swimming in a pool,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q9}} requires much more skill than {{Q6}}.,{{Q9}} is somewhat more predictable than {{Q6}}.,{{Q6}} offers a much more novelty than {{Q9}}.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,{{Q6}} has somewhat more clear goals than {{Q9}}.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,{{Q6}} brings me into the present somewhat more than {{Q9}}.,{{Q9}} feels like less effort than {{Q6}}.,{{Q6}} has somewhat higher stakes than {{Q9}}.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",{{Q6}} is somewhat more rewarding than {{Q9}}.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.
,,02/15/2017 04:08:13 PM,02/15/2017 04:10:27 PM,,,,,,,"Charlottesville, VA",USA,1997,Associate degree,Female,Running,long distance running ,I do not feel hindered or do not have a physical disability.,Strength training,"weight lifting, body weight exercises ",I do not feel hindered or do not have a physical disability.,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2017 04:05:08 PM,02/15/2017 04:11:32 PM,,,,,,,"Charlottesville, VA",USA,1997,Some college but no degree,Female,running,running at an easy pace for 3-5 miles,I do not feel hindered or do not have a physical disability.,soccer,American rules,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Competent amateur,{{Q9}} requires much more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,{{Q9}} admits much more creativity than {{Q6}}.,{{Q9}} is much more complex than {{Q6}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,{{ Q9}} involves a somewhat more waiting than {{ Q6}}.,{{Q9}} involves somewhat more of my body than {{Q6}}.,{{Q6}} permits somewhat more control than {{Q9}}.,Both bring me into the present to a roughly equal extent.,{{Q9}} feels effortless compare to {{Q6}} where I have to struggle and force myself.,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q9}} has somewhat more chance of physical injury compare to {{Q6}}.,{{Q9}} has much more chance of serious physical injury compare to {{Q6}}.
,,02/15/2017 04:03:51 PM,02/15/2017 04:09:32 PM,,,,,,,"Charlottesville, VA",USA,1996,Associate degree,Female,yoga,Heated Power Vinyasa ,I do not feel hindered or do not have a physical disability.,weight lifting ,lifting in a gym with both body weight and light weights ,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Beginner,Both require roughly equal skill.,{{Q9}} is somewhat more predictable than {{Q6}}.,{{Q6}} offers a somewhat more novelty than {{Q9}}.,{{Q6}} admits much more creativity than {{Q9}}.,Both are of roughly equal complexity.,{{Q6}} has somewhat more clear goals than {{Q9}}.,Both offer roughly equally immediate feedback.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q6}} turns off my mental chatter somewhat more than {{Q9}}.,{{ Q9 }} involves a lot more waiting than {{ Q6 }}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,{{Q6}} brings me into the present somewhat more than {{Q9}}.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",{{Q6}} is somewhat more rewarding than {{Q9}}.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q9}} has much more chance of serious physical injury compare to {{Q6}}.
,,02/15/2017 04:02:26 PM,02/15/2017 04:08:47 PM,,,,,,,"Charlottesville, VA",USA,1991,Bachelor degree,Male,Martial arts,Taekwondo - mostly kicking  Brazilian Jiu Jitsu - ground based grappling/submission wrestling  Mixed martial arts - mix of striking and grappling,I do not feel hindered or do not have a physical disability.,Swimming,"Solo swimming - freestyle, breastroke",I do not feel hindered or do not have a physical disability.,Group,Solo,Competent amateur,Competent amateur,{{Q6}} requires much more skill than {{Q9}}.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q6}} admits much more creativity than {{Q9}}.,{{Q6}} is somewhat more complex than {{Q9}}.,{{Q9}} has much more clear goals than {{Q6}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,Both have equally clear goals.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q9}} involves a somewhat more waiting than {{ Q6}}.,{{Q9}} involves somewhat more of my body than {{Q6}}.,{{Q6}} permits somewhat more control than {{Q9}}.,{{Q6}} brings me into the present much more than {{Q9}}.,{{Q6}} feels like less effort than {{Q9}}.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",{{Q6}} is much more rewarding than {{Q9}}.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,02/15/2017 12:48:55 PM,02/15/2017 12:50:49 PM,,,,,,,"Charlottesville, VA",USA,1995,Some college but no degree,Female,ultimate frisbee,"I played women's ultimate frisbee, the sport.",I do not feel hindered or do not have a physical disability.,running,I ran a 5K.,I do not feel hindered or do not have a physical disability.,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2017 12:32:36 PM,02/15/2017 12:35:21 PM,,,,,,,Oxford,UK,1996,Bachelor degree,Female,gym ,,I do not feel hindered or do not have a physical disability.,swimming ,,I do not feel hindered or do not have a physical disability.,Solo,Solo,Beginner,Competent amateur,Both require roughly equal skill.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,02/09/2017 02:17:22 PM,02/09/2017 02:30:50 PM,,,,,,,"London, England",United Kingdom,1982,Graduate degree,Male,Gym workout,Rowing machine and free weights.,I do not feel hindered or do not have a physical disability.,Football ,"Americans call it soccer but it should be called ""football"".",I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Competent amateur,{{Q9}} requires much more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,{{Q9}} admits much more creativity than {{Q6}}.,{{Q9}} is somewhat more complex than {{Q6}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q6}} turns off my mental chatter somewhat more than {{Q9}}.,{{ Q9}} involves a somewhat more waiting than {{ Q6}}.,{{Q6}} involves somewhat more of my body than {{Q9}}.,{{Q6}} permits somewhat more control than {{Q9}}.,Both bring me into the present to a roughly equal extent.,{{Q9}} feels effortless compare to {{Q6}} where I have to struggle and force myself.,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During {{Q9}}, I am much more concerned about others' evaluations than during {{Q6}}.",{{Q9}} is somewhat more rewarding than {{Q6}}.,{{Q9}} has somewhat more chance of physical injury compare to {{Q6}}.,{{Q9}} has somewhat more chance of serious physical injury compare to {{Q6}}.
,,02/09/2017 04:20:45 AM,02/09/2017 04:21:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/08/2017 08:44:50 AM,02/08/2017 08:50:17 AM,,,,,,,"Richmond, VA",USA,1980,Graduate degree,Female,Yoga,"at home practice, primarily vinyasa style",I do not feel hindered or do not have a physical disability.,Hiking,walking on trails in nature,I do not feel hindered or do not have a physical disability.,Group,Group,Expert or professional,Competent amateur,{{Q6}} requires much more skill than {{Q9}}.,{{Q6}} is much more predictable than {{Q9}}.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,Both have equally clear goals.,{{Q9}} has much more immediate feedback than {{Q6}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,{{Q6}} involves somewhat more of my body than {{Q9}}.,{{Q9}} permits somewhat more control than {{Q6}}.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.
,,02/07/2017 08:43:43 AM,02/07/2017 09:07:18 AM,,,,,,,"Richmond, VA",USA,1986,Graduate degree,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/06/2017 07:14:03 PM,02/06/2017 07:15:35 PM,,,,,,,,,,,,Soccer,,,Handball,,,,,,,,,,,,,,,,,,,,,,,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",,,
,,02/06/2017 06:20:03 AM,02/06/2017 04:29:06 PM,,,,,,,"Richmond, VA",USA,1998,Some college but no degree,Female,Field Hockey,NCAA Division I Field Hockey ,I do not feel hindered or do not have a physical disability.,Running,"Recreational Running to keep in shape for sports, socialize with friends, and explore the area",I do not feel hindered or do not have a physical disability.,Group,Solo,Expert or professional,Competent amateur,{{Q6}} requires much more skill than {{Q9}}.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a somewhat more novelty than {{Q9}}.,{{Q6}} admits somewhat more creativity than {{Q9}}.,{{Q6}} is much more complex than {{Q9}}.,{{Q9}} has much more clear goals than {{Q6}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q6}} has somewhat more clear goals than {{Q9}}.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,Both involve my body to a roughly equal extent.,{{Q9}} permits somewhat more control than {{Q6}}.,Both bring me into the present to a roughly equal extent.,{{Q9}} feels like less effort than {{Q6}}.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q6}}, I am much more concerned about others' evaluations than during {{Q9}}.",{{Q9}} is somewhat more rewarding than {{Q6}}.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,02/06/2017 03:21:04 PM,02/07/2017 08:51:06 AM,,,,,,,"Sandston, VA",USA,1977,Bachelor degree,Female,weight lifting,lifting weights in a gym,I do not feel hindered or do not have a physical disability.,HIking,Hiking on nature trails/mountains,I do not feel hindered or do not have a physical disability.,Solo,Group,Beginner,Competent amateur,{{Q6}} requires somewhat more skill than {{Q9}}.,{{Q6}} is somewhat more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,{{Q9}} admits much more creativity than {{Q6}}.,Both are of roughly equal complexity.,{{Q6}} has somewhat more clear goals than {{Q9}}.,Both offer roughly equally immediate feedback.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q6}} turns off my mental chatter somewhat more than {{Q9}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q9}} involves somewhat more of my body than {{Q6}}.,{{Q6}} permits somewhat more control than {{Q9}}.,Both bring me into the present to a roughly equal extent.,{{Q9}} feels effortless compare to {{Q6}} where I have to struggle and force myself.,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",{{Q9}} is somewhat more rewarding than {{Q6}}.,{{Q9}} has somewhat more chance of physical injury compare to {{Q6}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,02/06/2017 02:15:40 PM,02/06/2017 02:21:57 PM,,,,,,,"Richmond, VA",USA,1985,Bachelor degree,Male,Soccer,,,Running,,,Group,Solo,Competent amateur,Competent amateur,{{Q6}} requires much more skill than {{Q9}}.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a somewhat more novelty than {{Q9}}.,{{Q6}} admits somewhat more creativity than {{Q9}}.,{{Q6}} is much more complex than {{Q9}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q9}} has much more clear goals than {{Q6}}.,Both offer roughly equally immediate feedback.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q6}} involves somewhat more of my body than {{Q9}}.,{{Q9}} permits much more control than {{Q6}}.,Both bring me into the present to a roughly equal extent.,{{Q6}} feels like less effort than {{Q9}}.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",{{Q9}} is somewhat more rewarding than {{Q6}}.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,02/06/2017 11:04:50 AM,02/06/2017 01:22:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/06/2017 12:32:25 PM,02/06/2017 12:46:08 PM,,,,,,,"Chesapeake, VA",USA,1985,Bachelor degree,Male,Weight lifting,Lifting weights ,,Basketball,I played basketball on a outside court,,Solo,Group,Competent amateur,Competent amateur,{{Q9}} requires somewhat more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,{{Q9}} admits somewhat more creativity than {{Q6}}.,{{Q6}} is somewhat more complex than {{Q9}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q9}} turns off my mental chatter much more than {{Q6}}.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,{{Q6}} permits somewhat more control than {{Q9}}.,{{Q9}} brings me into the present much more than {{Q6}}.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q9}}, I am much more concerned about others' evaluations than during {{Q6}}.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.
