Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Current location,,"In what year were you born? (enter 4-digit birth year; for example, 1976)",What is the highest level of school you have completed or the highest degree you have received?,Are you male or female?,Provide a short 1-2 word name of one physical activity.,"Describe the physical activity clearly. For example, if you wrote ""gym,"" clarify which specific activity you did at the gym. If you wrote ""martial arts,"" clarify which specific martial arts you practice. If you wrote ""hockey"" above, clarify whether you meant field hockey or ice hockey.","If you have a physical disability, to what extent does it interfere with your ability to do this activity?",Provide a short 1-2 word name of another physical activity.,"Describe the second physical activity clearly. Please be specific enough so that our analyst can group your physical activities with other people' similar physical activities. For example, if you wrote ""football,"" clarify whether you meant soccer, Gridiron football, rugby, or Australian rules football.","If you have a physical disability, to what extent does it interfere with your ability to do this second activity?","During the activity, do you engage with a group or go it solo?",,How expert are you at these physical activities?,,How much skill is required?,How predictable is the action?,To what extent do you find new and fresh experiences during the activity?,To what extent are there opportunities to express creativity during the activity?,How complex is the action and the environment in which it takes place?,How clear and straightforward are the long-term goals?,How quickly do you know whether what you wanted to accomplish in the long term was successful?,"How clear and straightforward are the short-term, moment-to-moment goals?",How quickly do you know whether what you wanted to accomplish in the short term was successful?,Does your extraneous mental chatter temporarily shut down during the activity?,How much time do you feel like is spent waiting for the next step in the activity?,How much of your body is involved in the activity? Is it full-body or only part of your body?,How much control do you feel like you can exert over your performance?,"During the activity, to what extent do you feel like you are in the present moment?",How spontaneous is your action?,"During the activity, how important does the activity feel?",To what extent do you care about how others judge your performance?,"After engaging in the physical activity, to what extent do you feel great?",What is the risk of minor physical injury (more than just muscle soreness)?,What is the risk of serious physical injury?,"Did you read all of the instructions and questions carefully? In your honest opinion, should we use your data in our analyses?"
,,02/15/2018 12:48:30 PM,02/15/2018 12:54:40 PM,,,,,,"Richmond, VA",USA,1990,Bachelor degree,Male,"Yoga, gym",i do push ups and pull ups  a lot,I do not feel hindered or do not have a physical disability.,"hockey, cricket",i mean cricket i love to bat and hiting sixes,I do not feel hindered or do not have a physical disability.,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2018 12:42:45 PM,02/15/2018 12:52:00 PM,,,,,,"MADURAI,TN",INDIA,1992,Bachelor degree,Male,GYM (HEALTH),WORK OUT IN GYM,I do not feel hindered or do not have a physical disability.,BASKET BALL,BASKET BALL WAS GROUP OF PLAY IN HEALTH GOOD,I feel slightly hindered.,Solo,Group,Beginner,Competent amateur,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,Both offer roughly equal novelty.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q5}} is somewhat more complex than {{Q8}}.,Both have equally clear goals.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q8}} feels like less effort than {{Q5}}.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,
,,02/15/2018 12:32:03 PM,02/15/2018 12:53:29 PM,,,,,,"MADURAI,TN",INDIA,1991,Bachelor degree,Male,GYM(HEALTH AND PERFORMANCE RELATED ACTIVITY),I WORK OUT IN GYM AND TAKING WEIGHTS,I do not feel hindered or do not have a physical disability.,FOOTBALL,"playing fields have no fixed dimensions but at senior level are typically between 135 and 185 metres long and 110 and 155 metres wide wing-to-wing. The field, like the ball, is oval-shaped, and in Australia, cricket grounds are often used.",I feel slightly hindered.,Solo,Group,Competent amateur,Beginner,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,{{Q8}} offers a somewhat more novelty than {{Q5}}.,{{Q8}} admits somewhat more creativity than {{Q5}}.,Both are of roughly equal complexity.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,{{Q8}} involves somewhat more of my body than {{Q5}}.,{{Q5}} permits somewhat more control than {{Q8}}.,Both bring me into the present to a roughly equal extent.,{{Q5}} feels like less effort than {{Q8}}.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q8}} is somewhat more rewarding than {{Q5}}.,The chance of physical injury is roughly equal.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,
,,02/15/2018 12:03:54 PM,02/15/2018 12:15:12 PM,,,,,,"MADURAI,TN",IANDA,1989,Bachelor degree,Male,running,hockey,I feel slightly hindered.,swimming,football,I feel slightly hindered.,Group,Group,Competent amateur,Expert or professional,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q8}} is somewhat more predictable than {{Q5}}.,Both offer roughly equal novelty.,{{Q8}} admits much more creativity than {{Q5}}.,{{Q8}} is somewhat more complex than {{Q5}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,Both have equally clear goals.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} turns off my mental chatter much more than {{Q5}}.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,{{Q8}} involves somewhat more of my body than {{Q5}}.,{{Q5}} permits much more control than {{Q8}}.,{{Q5}} brings me into the present much more than {{Q8}}.,{{Q5}} feels effortless compare to {{Q8}} where I have to struggle and force myself.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",{{Q8}} is somewhat more rewarding than {{Q5}}.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,The chance of serious physical injury is roughly equal.,Yes
,,02/15/2018 12:05:02 PM,02/15/2018 12:22:10 PM,,,,,,chennai,Tamilnadu,1992,Bachelor degree,Male,running,,I do not feel hindered or do not have a physical disability., football,physical  Strength,I feel slightly hindered.,Solo,Group,Expert or professional,Competent amateur,{{Q5}} requires somewhat more skill than {{Q8}}.,Both offer roughly equal predictability.,{{Q5}} offers a much more novelty than {{Q8}}.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,Both have equally clear goals.,{{Q5}} has much more immediate feedback than {{Q8}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,{{Q8}} involves somewhat more of my body than {{Q5}}.,Both admit roughly equal control.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,Both require about the same extent of effort (both either effortless or effortful).,{{Q8}} has much higher stakes than {{Q5}}.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,
,,02/15/2018 11:56:09 AM,02/15/2018 11:56:30 AM,,,,,,"Milwaukee, WI",USA,1989,Bachelor degree,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2018 11:44:39 AM,02/15/2018 12:08:48 PM,,,,,,"CHENNAI,TN",INDIA,1989,Bachelor degree,Male,MORNING YOGA,Yoga is a mental health art.And this will give us a sense of refreshment in the morning.This will be happy all day long.,I am more than slightly hindered.,"Breath training,Football",Breath training-It give us a sense of refreshment in the morning.  Football- help to body fitness,I feel slightly hindered.,Solo,Group,Expert or professional,Competent amateur,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,Both offer roughly equal novelty.,{{Q8}} admits somewhat more creativity than {{Q5}}.,Both are of roughly equal complexity.,Both have equally clear goals.,{{Q5}} has much more immediate feedback than {{Q8}}.,,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,Both involve my body to a roughly equal extent.,{{Q5}} permits somewhat more control than {{Q8}}.,Both bring me into the present to a roughly equal extent.,{{Q5}} feels like less effort than {{Q8}}.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",Both are roughly equally rewarding.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/15/2018 11:44:50 AM,02/15/2018 11:51:16 AM,,,,,,"KOCHI, KERALA",INDIA,1992,Bachelor degree,Male,SWIMMING,swimming in the river with friends,I do not feel hindered or do not have a physical disability.,trekking,trekking to a mountain,I do not feel hindered or do not have a physical disability.,Group,Group,Beginner,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,{{Q5}} is much more predictable than {{Q8}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q8}} admits somewhat more creativity than {{Q5}}.,{{Q8}} is much more complex than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q8 }} involves a lot more waiting than {{ Q5 }}.,{{Q8}} involves somewhat more of my body than {{Q5}}.,{{Q8}} permits somewhat more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q8}} has much more chance of serious physical injury compare to {{Q5}}.,Yes
,,02/15/2018 11:42:57 AM,02/15/2018 11:43:30 AM,,,,,,"fort myers, fl",usa,1965,Bachelor degree,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2018 11:42:12 AM,02/15/2018 11:47:17 AM,,,,,,"Magnolia, Texas",USA,1987,"High school degree or equivalent (e.g., GED)",Female,weight lifting,"Lifting dumbells , kettle bells and heavy objects for fitness",I do not feel hindered or do not have a physical disability.,tennis,chasing down  a ball with a racquet while making sexual grunting noises . ,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Competent amateur,{{Q8}} requires somewhat more skill than {{Q5}}.,{{Q5}} is much more predictable than {{Q8}}.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,{{Q5}} has much more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/15/2018 11:42:29 AM,02/15/2018 11:44:11 AM,,,,,,"atlanta, ga",usa,1994,Some college but no degree,Male,swimming,swimming,I do not feel hindered or do not have a physical disability.,basketball,one on one game,I do not feel hindered or do not have a physical disability.,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2018 11:41:58 AM,02/15/2018 11:52:06 AM,,,,,,"Jasper, GA",USa,1965,Some college but no degree,Female,Little River 5K Fun Run/Walk,"Run, jogged and pace walked 5K trail. ",I do not feel hindered or do not have a physical disability.,Atlanta Hot Chocolate 15K/5K ,"Run, jogged and pace walked the 5K ",I do not feel hindered or do not have a physical disability.,Group,Group,Beginner,Beginner,Both require roughly equal skill.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,{{Q8}} is somewhat more complex than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,Both offer roughly equally immediate feedback.,{{Q5}} has somewhat more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,{{Q5}} feels like less effort than {{Q8}}.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",{{Q5}} is somewhat more rewarding than {{Q8}}.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.,Yes
,,02/15/2018 11:08:57 AM,02/15/2018 11:14:47 AM,,,,,,New jersy,US,1986,Graduate degree,Female,swimming,normal frontward swimming,I do not feel hindered or do not have a physical disability.,jogging,marathon,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Competent amateur,{{Q5}} requires somewhat more skill than {{Q8}}.,Both offer roughly equal predictability.,{{Q5}} offers a much more novelty than {{Q8}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q8}} is somewhat more complex than {{Q5}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q5}} brings me into the present much more than {{Q8}}.,Both require about the same extent of effort (both either effortless or effortful).,{{Q5}} has much higher stakes than {{Q8}}.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",{{Q5}} is much more rewarding than {{Q8}}.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.,Yes
,,02/15/2018 11:00:58 AM,02/15/2018 11:01:33 AM,,,,,,"Boise, ID",USA,1979,Some college but no degree,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2018 10:20:51 AM,02/15/2018 10:26:15 AM,,,,,,madurai tn,india,1993,Graduate degree,Male,cricket,,I feel slightly hindered.,basket ball,nope,I am more than slightly hindered.,Group,Solo,Beginner,Beginner,{{Q8}} requires somewhat more skill than {{Q5}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,{{Q8}} offers a somewhat more novelty than {{Q5}}.,{{Q8}} admits somewhat more creativity than {{Q5}}.,Both are of roughly equal complexity.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,{{Q8}} involves somewhat more of my body than {{Q5}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q5}} feels like less effort than {{Q8}}.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",{{Q8}} is somewhat more rewarding than {{Q5}}.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,
,,02/15/2018 10:10:07 AM,02/15/2018 10:15:24 AM,,,,,,,,1984,Bachelor degree,Female,running,,I feel slightly hindered.,walking,for ground,I am more than slightly hindered.,Solo,Solo,Competent amateur,Competent amateur,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q8}} is much more complex than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,Both have equally clear goals.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,Both involve my body to a roughly equal extent.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q5}} brings me into the present much more than {{Q8}}.,{{Q8}} feels like less effort than {{Q5}}.,Both have roughly equal stakes.,"During {{Q8}}, I am much more concerned about others' evaluations than during {{Q5}}.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
,,02/15/2018 10:08:34 AM,02/15/2018 10:15:31 AM,,,,,,Las Vegas NV,usa,1978,Bachelor degree,Male,bowling,Indoor bowling,I do not feel hindered or do not have a physical disability.,Scuba Diving,Fresh water  Scuba diving,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Expert or professional,{{Q8}} requires much more skill than {{Q5}}.,Both offer roughly equal predictability.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q8}} admits somewhat more creativity than {{Q5}}.,Both are of roughly equal complexity.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,{{Q8}} involves much more of my body than {{Q5}}.,{{Q8}} permits somewhat more control than {{Q5}}.,{{Q8}} brings me into the present much more than {{Q5}}.,,Both have roughly equal stakes.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q8}} has much more chance of serious physical injury compare to {{Q5}}.,Yes
,,02/15/2018 10:03:04 AM,02/15/2018 10:12:44 AM,,,,,,"scottville, mi",usa,1966,Associate degree,Female,softball,Recreational co-ed softball playing left field,I feel slightly hindered.,gym,weight lifting,I feel slightly hindered.,Group,Solo,Competent amateur,Beginner,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a much more novelty than {{Q8}}.,{{Q8}} admits much more creativity than {{Q5}}.,{{Q5}} is much more complex than {{Q8}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,{{Q5}} involves much more of my body than {{Q8}}.,{{Q8}} permits much more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,{{Q8}} feels effortless compare to {{Q5}} where I have to struggle and force myself.,{{Q5}} has much higher stakes than {{Q8}}.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",{{Q5}} is much more rewarding than {{Q8}}.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/15/2018 10:02:22 AM,02/15/2018 10:11:24 AM,,,,,,"Ellenville, NY",USA,1978,Bachelor degree,Female,Swimming,Outdoor swimming in the lake,I do not feel hindered or do not have a physical disability.,Running,Running outside 2 miles three times a week. ,I do not feel hindered or do not have a physical disability.,Group,Solo,Beginner,Beginner,{{Q5}} requires somewhat more skill than {{Q8}}.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,{{Q5}} admits somewhat more creativity than {{Q8}}.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,{{Q5}} feels like less effort than {{Q8}}.,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q8}} has much more chance of serious physical injury compare to {{Q5}}.,Yes
,,02/15/2018 09:48:35 AM,02/15/2018 09:54:58 AM,,,,,,"namakkal,tamilnadu",india,1961,Bachelor degree,Female,walking,volley ball,I feel slightly hindered.,nothing,,I do not feel hindered or do not have a physical disability.,Solo,Solo,Expert or professional,Competent amateur,Both require roughly equal skill.,Both offer roughly equal predictability.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,Both are of roughly equal complexity.,{{Q5}} has somewhat more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,Both involve my body to a roughly equal extent.,{{Q8}} permits somewhat more control than {{Q5}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q8}} feels like less effort than {{Q5}}.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",{{Q8}} is somewhat more rewarding than {{Q5}}.,The chance of physical injury is roughly equal.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
,,02/15/2018 09:47:46 AM,02/15/2018 09:48:25 AM,,,,,,"Asheville, NC",USA,1958,"High school degree or equivalent (e.g., GED)",Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2018 09:46:52 AM,02/15/2018 09:47:36 AM,,,,,,"Chennai, Tamilnadu",INDIA,1993,Bachelor degree,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2018 09:39:45 AM,02/15/2018 09:41:41 AM,,,,,,"Chennai, TN",India,1993,Bachelor degree,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2018 09:39:19 AM,02/15/2018 09:43:44 AM,,,,,,"LA, CA",USA,1993,Bachelor degree,Female,Martial Arts,"Taekwondo; We do stretching, running, cardio, and self-defense. ",I do not feel hindered or do not have a physical disability.,swimming,I swam in my pool. ,I do not feel hindered or do not have a physical disability.,Group,Solo,Expert or professional,Competent amateur,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,Both offer roughly equal novelty.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,Both involve my body to a roughly equal extent.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",{{Q5}} is much more rewarding than {{Q8}}.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/15/2018 09:36:03 AM,02/15/2018 09:39:06 AM,,,,,,"LA, CA",USA,1993,Bachelor degree,Female,Martial Arts,"I practice taekwondo. Taekwondo is the Korean Martial Arts. We do stretching, running, fitness, cardio, and self-defense together as a group. ",I do not feel hindered or do not have a physical disability.,Yoga,Swimming; I swam at home for fitness. ,I do not feel hindered or do not have a physical disability.,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2018 09:34:38 AM,02/15/2018 09:39:36 AM,,,,,,blackwood new jersey,usa,1988,"High school degree or equivalent (e.g., GED)",Female,football,quarterback american football,I do not feel hindered or do not have a physical disability.,swimming,laps in a pool,I do not feel hindered or do not have a physical disability.,Group,Solo,Expert or professional,Expert or professional,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a much more novelty than {{Q8}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q8}} is much more complex than {{Q5}}.,{{Q8}} has much more clear goals than {{Q5}}.,Both offer roughly equally immediate feedback.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} turns off my mental chatter much more than {{Q5}}.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,Both involve my body to a roughly equal extent.,{{Q8}} permits much more control than {{Q5}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q8}} feels effortless compare to {{Q5}} where I have to struggle and force myself.,{{Q5}} has much higher stakes than {{Q8}}.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/14/2018 06:08:09 PM,02/14/2018 06:12:43 PM,,,,,,"Portland, OR",USA,1991,Bachelor degree,Female,ping pong,I played one on one ping pong at a normal ping pong table at a bar.,I do not feel hindered or do not have a physical disability.,disc golf,Disc golf involves throwing frisbees at targets and running after them.,I do not feel hindered or do not have a physical disability.,Group,Group,Beginner,Beginner,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q5}} is much more predictable than {{Q8}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q8}} admits much more creativity than {{Q5}}.,{{Q8}} is somewhat more complex than {{Q5}}.,Both have equally clear goals.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,{{ Q8 }} involves a lot more waiting than {{ Q5 }}.,{{Q8}} involves much more of my body than {{Q5}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q5}} feels like less effort than {{Q8}}.,{{Q5}} has much higher stakes than {{Q8}}.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",{{Q8}} is somewhat more rewarding than {{Q5}}.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
